experiment:_Bos_taurus_9913_-_Cellular_component:_cols-genes_10__rows-features_207__vals-annotazioni_7658_threshold=0.45_HUs=25
(gene oid, feature oid)
(4158489, 216597),
(4152209, 216593),
(4152209, 216597),
(4153460, 217533),
(4156417, 200816),
(4156417, 217533),
(4152480, 200816),
(4152480, 217533),
(4153069, 200713),
(4153069, 200714),
(4153069, 200816),
(4153069, 216592),
(4153069, 216593),
(4153069, 216595),
(4153069, 216597),
(4153069, 217513),
(4153069, 217533),
(4153069, 217552),
(4165350, 200713),
(4165350, 200816),
(4165350, 216592),
(4165350, 216593),
(4165350, 216595),
(4165350, 216597),
(4165350, 217513),
(4165350, 217533),
(4153110, 216593),
(4153110, 216597),
(4152178, 200816),
(4152178, 216593),
(4152178, 216597),
(4152178, 217533),
(4158781, 216593),
(4158781, 216597),
(4152698, 200713),
(4152698, 200816),
(4152698, 216592),
(4152698, 216593),
(4152698, 216595),
(4152698, 216597),
(4152698, 217513),
(4152698, 217533),
(4168923, 200816),
(4168923, 217533),
(4153047, 216592),
(4153047, 216593),
(4153047, 216595),
(4153047, 216597),
(4153047, 217533),
(4153821, 216592),
(4153821, 216593),
(4153821, 216595),
(4153821, 216597),
(4153821, 217533),
(4152456, 200713),
(4152456, 200714),
(4152456, 200816),
(4152456, 216592),
(4152456, 216593),
(4152456, 216595),
(4152456, 216597),
(4152456, 217513),
(4152456, 217533),
(4152456, 217552),
(4153014, 200816),
(4153014, 216592),
(4153014, 216593),
(4153014, 216595),
(4153014, 216597),
(4153014, 217513),
(4153014, 217533),
(4160208, 200816),
(4160208, 217533),
(4153426, 216592),
(4153426, 216593),
(4153426, 216595),
(4153426, 216597),
(4153426, 217533),
(4154941, 200816),
(4154941, 217533),
(4152152, 200816),
(4152152, 216593),
(4152152, 216597),
(4152152, 217533),
(4153533, 217533),
(4153004, 200713),
(4153004, 200816),
(4153004, 216592),
(4153004, 216593),
(4153004, 216595),
(4153004, 216597),
(4153004, 217513),
(4153004, 217533),
(4155672, 200816),
(4155672, 217533),
(4163784, 216592),
(4163784, 216593),
(4163784, 216595),
(4163784, 216597),
(4163784, 217533),
(4153770, 200713),
(4153770, 200816),
(4153770, 216592),
(4153770, 216593),
